id,Summary,Status,Keywords,Owner,Type,Priority
47456,Improve the user interface to ensure correct usage of the image alt text,accepted,wpcampus-report needs-patch phase-3-media-triage,joedolson,defect (bug),high
17255,More statuses (like draft and/or private) for media files,new,needs-patch phase-3-media-triage,,defect (bug),normal
22894,Need WordPress Media Uploader Stop or Cancel Button in WP Version 3.5,reopened,needs-patch phase-3-media-triage,,enhancement,normal
22937,Bulk Actions > Edit could allow batch-assignment of taxonomies to Media following the WP 3.5 media changes,new,needs-patch phase-3-media-triage,,feature request,normal
23436,Media Gallery - Cropping Image and then Cropping a thumbnail from that crop doesn't work.,accepted,needs-patch 2nd-opinion media-edit,joedolson,defect (bug),normal
28321,"Media uploader confuses user with description, caption, alt and title, without explanation",new,phase-3-media-triage,,enhancement,normal
31177,Captions video not saved with the post and are lost on attachment page,assigned,needs-patch phase-3-media-triage,postphotos,defect (bug),normal
31395,"Indicate difference of two visually equal, but otherwise different images in non-list media views",new,phase-3-media-triage,,enhancement,normal
32849,Allow option of Grid AND List View of the gallery when inserting media into post,new,needs-patch phase-3-media-triage,,enhancement,normal
32965,Add new Credit field to media attachment details,new,phase-3-media-triage,,enhancement,normal
34223,Core support for image regeneration,new,phase-3-media-triage,,feature request,normal
35887,Adding multiple media to post - selecting image size,new,needs-patch has-needs-design-feedback phase-3-media-triage,,defect (bug),normal
39004,Alt attributes should be searchable in media library,accepted,has-patch has-unit-tests phase-3-media-triage needs-design,joedolson,enhancement,normal
39358,Media search speed has been dramatically reduced,reopened,needs-patch phase-3-media-triage,joemcgill,defect (bug),normal
40126,Mobile has two media editing experiences,new,phase-3-media-triage,,defect (bug),normal
41462,Promote media details admin page to full post page,new,needs-design phase-3-media-triage,,enhancement,normal
42751,Can we please  enqueue media-views independently ?,new,phase-3-media-triage,,defect (bug),normal
43178,Rethinking what “captions” means for video,accepted,has-patch reporter-feedback has-ux-feedback has-ui-feedback phase-3-media-triage,joedolson,enhancement,normal
43658,Media attachment filter drop-down mime types in grid mode is not properly filtered by available mime types,assigned,has-screenshots phase-3-media-triage,,defect (bug),normal
53013,Improve media library grid management tools,accepted,phase-3-media-triage,joedolson,enhancement,normal
59742,Media library should display the number of pages/posts/urls a particular media file is being used in.,assigned,phase-3-media-triage,,enhancement,normal
59753,Attach image to existing content functionality not working properly,new,phase-3-media-triage,,defect (bug),normal
60250,Feature Req – Media Library Grid-List,assigned,phase-3-media-triage,antpb,feature request,normal
60345,Add duplicate checking for uploaded attachments,new,phase-3-media-triage,,enhancement,normal
